Wilayah Kab/Kota,Tahun,Jumlah Penduduk
Provinsi Jawa Barat,2023,49860333
KABUPATEN BOGOR,2023,5627020
KABUPATEN SUKABUMI,2023,2802400
KABUPATEN CIANJUR,2023,2558140
KABUPATEN BANDUNG,2023,3721110
KABUPATEN GARUT,2023,2683670
KABUPATEN TASIKMALAYA,2023,1907050
KABUPATEN CIAMIS,2023,1251540
KABUPATEN KUNINGAN,2023,1201760
KABUPATEN CIREBON,2023,2360440
KABUPATEN MAJALENGKA,2023,1340620
KABUPATEN SUMEDANG,2023,1178240
KABUPATEN INDRAMAYU,2023,1894330
KABUPATEN SUBANG,2023,1649820
KABUPATEN PURWAKARTA,2023,1037070
KABUPATEN KARAWANG,2023,2526000
KABUPATEN BEKASI,2023,3237420
KABUPATEN BANDUNG BARAT,2023,1859640
KABUPATEN PANGANDARAN,2023,431460
KOTA BOGOR,2023,1070720
KOTA SUKABUMI,2023,360640
KOTA BANDUNG,2023,2506600
KOTA CIREBON,2023,341980
KOTA BEKASI,2023,2627210
KOTA DEPOK,2023,2145400
KOTA CIMAHI,2023,590780
KOTA TASIKMALAYA,2023,741760
KOTA BANJAR,2023,207510
