Wilayah Kab/Kota,Tahun,Jumlah Penduduk
Provinsi Jawa Barat,2018,48683861
KABUPATEN BOGOR,2018,5840907
KABUPATEN SUKABUMI,2018,2460693
KABUPATEN CIANJUR,2018,2260620
KABUPATEN BANDUNG,2018,3717291
KABUPATEN GARUT,2018,2606399
KABUPATEN TASIKMALAYA,2018,1751295
KABUPATEN CIAMIS,2018,1188629
KABUPATEN KUNINGAN,2018,1074497
KABUPATEN CIREBON,2018,2176213
KABUPATEN MAJALENGKA,2018,1199300
KABUPATEN SUMEDANG,2018,1149906
KABUPATEN INDRAMAYU,2018,1719187
KABUPATEN SUBANG,2018,1579018
KABUPATEN PURWAKARTA,2018,953414
KABUPATEN KARAWANG,2018,2336009
KABUPATEN BEKASI,2018,3630907
KABUPATEN BANDUNG BARAT,2018,1683711
KABUPATEN PANGANDARAN,2018,397187
KOTA BOGOR,2018,1096828
KOTA SUKABUMI,2018,326282
KOTA BANDUNG,2018,2503708
KOTA CIREBON,2018,316277
KOTA BEKASI,2018,2931897
KOTA DEPOK,2018,2330333
KOTA CIMAHI,2018,607811
KOTA TASIKMALAYA,2018,662723
KOTA BANJAR,2018,182819
Provinsi Jawa Barat,2019,49316712
KABUPATEN BOGOR,2019,5965410
KABUPATEN SUKABUMI,2019,2466272
KABUPATEN CIANJUR,2019,2263072
KABUPATEN BANDUNG,2019,3775279
KABUPATEN GARUT,2019,2622425
KABUPATEN TASIKMALAYA,2019,1754128
KABUPATEN CIAMIS,2019,1195176
KABUPATEN KUNINGAN,2019,1080804
KABUPATEN CIREBON,2019,2192903
KABUPATEN MAJALENGKA,2019,1205034
KABUPATEN SUMEDANG,2019,1152400
KABUPATEN INDRAMAYU,2019,1728469
KABUPATEN SUBANG,2019,1595825
KABUPATEN PURWAKARTA,2019,962893
KABUPATEN KARAWANG,2019,2353915
KABUPATEN BEKASI,2019,3763886
KABUPATEN BANDUNG BARAT,2019,1699896
KABUPATEN PANGANDARAN,2019,399284
KOTA BOGOR,2019,1112081
KOTA SUKABUMI,2019,328680
KOTA BANDUNG,2019,2507888
KOTA CIREBON,2019,319312
KOTA BEKASI,2019,3003923
KOTA DEPOK,2019,2406826
KOTA CIMAHI,2019,614304
KOTA TASIKMALAYA,2019,663517
KOTA BANJAR,2019,183110
Provinsi Jawa Barat,2020,49358358
KABUPATEN BOGOR,2020,6088233
KABUPATEN SUKABUMI,2020,2470219
KABUPATEN CIANJUR,2020,2264328
KABUPATEN BANDUNG,2020,3831505
KABUPATEN GARUT,2020,2636637
KABUPATEN TASIKMALAYA,2020,1755710
KABUPATEN CIAMIS,2020,1201685
KABUPATEN KUNINGAN,2020,1087105
KABUPATEN CIREBON,2020,2209633
KABUPATEN MAJALENGKA,2020,1210709
KABUPATEN SUMEDANG,2020,1154428
KABUPATEN INDRAMAYU,2020,1737624
KABUPATEN SUBANG,2020,1612576
KABUPATEN PURWAKARTA,2020,971889
KABUPATEN KARAWANG,2020,2370488
KABUPATEN BEKASI,2020,3899017
KABUPATEN BANDUNG BARAT,2020,1714982
KABUPATEN PANGANDARAN,2020,401493
KOTA BOGOR,2020,1126927
KOTA SUKABUMI,2020,330691
KOTA BANDUNG,2020,2510103
KOTA CIREBON,2020,322322
KOTA BEKASI,2020,3075690
KOTA DEPOK,2020,2484186
KOTA CIMAHI,2020,620393
KOTA TASIKMALAYA,2020,663986
KOTA BANJAR,2020,183299
